exception_id,trade_id,account_id,customer_id,exception_reason,priority,exception_status,exception_amount,currency,created_ts,sla_due_ts,resolved_ts,case_owner,escalation_level,policy_id,policy_version_expected,source_system
EXC-0000001,TRD-00007334,ACC-0000525,CUST-000470,INSUFFICIENT_CASH,P4,PENDING_COUNTERPARTY,137955.80,USD,2026-07-03T15:57:21,2026-07-03T23:57:21,,OPS-006,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000002,TRD-00006110,ACC-0000282,CUST-000128,LATE_AFFIRMATION,P2,PENDING_COUNTERPARTY,3205946.57,CAD,2026-07-12T22:46:58,2026-07-13T00:46:58,,OPS-044,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000003,TRD-00013638,ACC-0000415,CUST-000427,LATE_AFFIRMATION,P3,RESOLVED,618941.13,USD,2026-07-14T12:16:48,2026-07-14T16:16:48,2026-07-14T18:02:48,OPS-011,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000004,TRD-00003994,ACC-0000425,CUST-000476,MARKET_CUTOFF_MISSED,P3,RESOLVED,1501922.10,EUR,2026-07-20T21:27:20,2026-07-21T01:27:20,2026-07-21T02:05:20,OPS-074,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000005,TRD-00019497,ACC-0000581,CUST-000018,COUNTERPARTY_MISMATCH,P2,IN_PROGRESS,8949338.79,EUR,2026-04-14T19:14:37,2026-04-14T21:14:37,,OPS-040,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000006,TRD-00013198,ACC-0000646,CUST-000079,COUNTERPARTY_MISMATCH,P3,RESOLVED,2558980.72,USD,2026-07-03T01:06:46,2026-07-03T05:06:46,2026-07-03T05:59:46,OPS-040,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000007,TRD-00008286,ACC-0000283,CUST-000414,SSI_MISMATCH,P2,OPEN,6082855.52,AUD,2026-07-06T20:15:42,2026-07-06T22:15:42,,OPS-005,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000008,TRD-00000584,ACC-0000004,CUST-000456,INSUFFICIENT_SECURITIES,P4,OPEN,2165281.14,USD,2026-03-20T00:36:23,2026-03-20T08:36:23,,OPS-001,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000009,TRD-00002724,ACC-0000362,CUST-000481,INSUFFICIENT_SECURITIES,P3,IN_PROGRESS,3480047.48,USD,2026-07-08T09:13:44,2026-07-08T13:13:44,,OPS-056,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000010,TRD-00006160,ACC-0000138,CUST-000369,SSI_MISMATCH,P2,RESOLVED,432612.96,CAD,2026-05-14T15:49:54,2026-05-14T17:49:54,2026-05-14T20:33:54,OPS-051,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
