document_id,document_type,policy_id,title,version,status,effective_date,end_date,business_unit,jurisdiction,classification,access_scope,file_path,expected_current_as_of_2026_07_21
POL-SET-001-V1.0,POLICY,POL-SET-001,Settlement Exception Management Policy,1.0,SUPERSEDED,2024-01-01,2024-12-31,SETTLEMENTS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SET-001_settlement_exception_management_policy_v1.0.pdf,N
POL-SET-001-V2.0,POLICY,POL-SET-001,Settlement Exception Management Policy,2.0,SUPERSEDED,2025-01-01,2025-12-31,SETTLEMENTS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SET-001_settlement_exception_management_policy_v2.0.pdf,N
POL-SET-001-V3.0,POLICY,POL-SET-001,Settlement Exception Management Policy,3.0,ACTIVE,2026-01-01,2026-09-30,SETTLEMENTS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SET-001_settlement_exception_management_policy_v3.0.pdf,Y
POL-SET-001-V4.0,POLICY,POL-SET-001,Settlement Exception Management Policy,4.0,APPROVED_FUTURE,2026-10-01,2027-12-31,SETTLEMENTS,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-SET-001_settlement_exception_management_policy_v4.0.pdf,N
POL-REC-001-V1.0,POLICY,POL-REC-001,Reconciliation Break Management Policy,1.0,SUPERSEDED,2024-01-01,2024-12-31,RECONCILIATION,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-REC-001_reconciliation_break_management_policy_v1.0.pdf,N
POL-REC-001-V2.0,POLICY,POL-REC-001,Reconciliation Break Management Policy,2.0,SUPERSEDED,2025-01-01,2025-12-31,RECONCILIATION,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-REC-001_reconciliation_break_management_policy_v2.0.pdf,N
POL-REC-001-V3.0,POLICY,POL-REC-001,Reconciliation Break Management Policy,3.0,ACTIVE,2026-01-01,2026-09-30,RECONCILIATION,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-REC-001_reconciliation_break_management_policy_v3.0.pdf,Y
POL-REC-001-V4.0,POLICY,POL-REC-001,Reconciliation Break Management Policy,4.0,APPROVED_FUTURE,2026-10-01,2027-12-31,RECONCILIATION,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-REC-001_reconciliation_break_management_policy_v4.0.pdf,N
POL-CUS-001-V1.0,POLICY,POL-CUS-001,Custody Account Operations and Control Policy,1.0,SUPERSEDED,2024-01-01,2024-12-31,GLOBAL_CUSTODY,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-CUS-001_custody_account_operations_and_control_policy_v1.0.pdf,N
POL-CUS-001-V2.0,POLICY,POL-CUS-001,Custody Account Operations and Control Policy,2.0,SUPERSEDED,2025-01-01,2025-12-31,GLOBAL_CUSTODY,GLOBAL,INTERNAL CONFIDENTIAL,ROLE_BASED,pdfs/policies/POL-CUS-001_custody_account_operations_and_control_policy_v2.0.pdf,N
