account_id,customer_id,account_type,base_currency,market,country_code,open_date,account_status,risk_rating,maker_checker_required,access_scope,last_review_date
ACC-0000001,CUST-000311,SEGREGATED,USD,NASDAQ,US,2024-10-30,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2026-06-21
ACC-0000002,CUST-000190,CASH,USD,NASDAQ,US,2019-03-17,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-02-04
ACC-0000003,CUST-000128,OMNIBUS,CAD,TSX,CA,2026-02-14,ACTIVE,HIGH,Y,OPS_STANDARD,2026-06-02
ACC-0000004,CUST-000456,PLEDGE,USD,NYSE,US,2023-12-21,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-12-04
ACC-0000005,CUST-000497,CASH,USD,NYSE,US,2025-02-13,ACTIVE,LOW,Y,OPS_STANDARD,2025-08-01
ACC-0000006,CUST-000031,PLEDGE,EUR,EURONEXT,FR,2024-07-12,ACTIVE,LOW,Y,OPS_SENSITIVE,2025-08-27
ACC-0000007,CUST-000216,OMNIBUS,CAD,TSX,CA,2024-02-27,ACTIVE,LOW,Y,OPS_RESTRICTED,2026-01-21
ACC-0000008,CUST-000384,SAFEKEEPING,USD,NYSE,US,2020-12-24,ACTIVE,LOW,Y,OPS_STANDARD,2026-06-17
ACC-0000009,CUST-000096,SEGREGATED,USD,NASDAQ,US,2024-06-21,ACTIVE,LOW,Y,OPS_STANDARD,2025-09-29
ACC-0000010,CUST-000084,PLEDGE,USD,NYSE,US,2026-04-15,ACTIVE,LOW,Y,OPS_STANDARD,2025-07-31
ACC-0000011,CUST-000482,OMNIBUS,EUR,EURONEXT,FR,2022-05-04,ACTIVE,LOW,Y,OPS_STANDARD,2026-05-15
ACC-0000012,CUST-000087,SAFEKEEPING,EUR,XETRA,DE,2025-01-28,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-02-10
ACC-0000013,CUST-000455,SAFEKEEPING,USD,NYSE,US,2022-04-24,ACTIVE,HIGH,Y,OPS_STANDARD,2026-03-03
ACC-0000014,CUST-000017,SEGREGATED,EUR,EURONEXT,FR,2025-05-19,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-08-10
ACC-0000015,CUST-000340,SEGREGATED,USD,NYSE,US,2019-05-16,ACTIVE,LOW,Y,OPS_STANDARD,2025-06-11
ACC-0000016,CUST-000395,CASH,EUR,XETRA,DE,2025-04-28,ACTIVE,LOW,Y,OPS_STANDARD,2026-02-17
ACC-0000017,CUST-000311,CASH,USD,NASDAQ,US,2025-03-02,DORMANT,MEDIUM,Y,OPS_SENSITIVE,2025-11-11
ACC-0000018,CUST-000486,SAFEKEEPING,EUR,XETRA,DE,2025-09-10,ACTIVE,LOW,Y,OPS_STANDARD,2025-05-27
ACC-0000019,CUST-000381,PLEDGE,USD,NYSE,US,2026-02-26,DORMANT,MEDIUM,Y,OPS_STANDARD,2025-08-20
ACC-0000020,CUST-000457,CASH,SGD,SGX,SG,2021-09-14,ACTIVE,HIGH,Y,OPS_RESTRICTED,2026-01-12
ACC-0000021,CUST-000440,OMNIBUS,GBP,LSE,GB,2020-10-16,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2026-05-21
ACC-0000022,CUST-000172,PLEDGE,USD,NASDAQ,US,2024-11-17,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-11-14
ACC-0000023,CUST-000001,CASH,AUD,ASX,AU,2025-11-05,DORMANT,LOW,Y,OPS_STANDARD,2025-03-02
ACC-0000024,CUST-000392,PLEDGE,USD,NYSE,US,2024-03-10,ACTIVE,LOW,Y,OPS_STANDARD,2025-04-16
