case_id,case_type,linked_record_id,customer_id,account_id,priority,case_status,created_ts,last_updated_ts,owner_id,queue_name,sla_breached_flag,data_classification,source_system
CASE-0000001,RECONCILIATION_BREAK,BRK-0000313,CUST-000072,ACC-0000052,P3,CLOSED,2026-04-14T00:36:08,2026-04-21T19:36:08,CASE-023,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000002,SETTLEMENT_EXCEPTION,EXC-0000383,CUST-000226,ACC-0000089,P3,WAITING,2026-03-27T23:28:47,2026-04-08T15:28:47,CASE-088,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000003,SETTLEMENT_EXCEPTION,EXC-0000161,CUST-000030,ACC-0000043,P4,CLOSED,2026-03-06T05:08:26,2026-03-07T12:08:26,CASE-045,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000004,POLICY_QUERY,,CUST-000345,ACC-0000940,P3,CLOSED,2026-05-05T20:59:15,2026-05-18T08:59:15,CASE-066,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000005,POLICY_QUERY,,CUST-000183,ACC-0000086,P2,IN_PROGRESS,2026-07-16T00:08:00,2026-07-21T07:30:00,CASE-064,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000006,RECONCILIATION_BREAK,BRK-0000590,CUST-000486,ACC-0000018,P1,WAITING,2026-06-21T19:21:41,2026-06-24T14:21:41,CASE-029,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000007,SETTLEMENT_EXCEPTION,EXC-0001451,CUST-000214,ACC-0000468,P3,CLOSED,2026-04-27T22:37:49,2026-05-05T18:37:49,CASE-035,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000008,SETTLEMENT_EXCEPTION,EXC-0000396,CUST-000490,ACC-0000327,P3,IN_PROGRESS,2026-03-14T00:07:11,2026-03-18T01:07:11,CASE-031,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000009,RECONCILIATION_BREAK,BRK-0001016,CUST-000399,ACC-0000726,P4,IN_PROGRESS,2026-03-15T06:05:28,2026-03-25T00:05:28,CASE-033,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000010,SETTLEMENT_EXCEPTION,EXC-0001989,CUST-000200,ACC-0000958,P1,OPEN,2026-05-15T16:00:21,2026-05-27T18:00:21,CASE-067,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000011,CORPORATE_ACTION,CA-0000048,CUST-000405,ACC-0000141,P3,CLOSED,2026-03-26T14:27:04,2026-04-07T08:27:04,CASE-045,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000012,POLICY_QUERY,,CUST-000140,ACC-0000981,P2,OPEN,2026-06-06T22:48:07,2026-06-09T00:48:07,CASE-007,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000013,SETTLEMENT_EXCEPTION,EXC-0002062,CUST-000045,ACC-0000279,P4,CLOSED,2026-03-19T00:38:51,2026-03-26T11:38:51,CASE-006,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000014,RECONCILIATION_BREAK,BRK-0000567,CUST-000351,ACC-0001000,P2,CLOSED,2026-04-24T22:26:55,2026-05-03T17:26:55,CASE-083,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
