break_id,account_id,customer_id,security_id,break_type,break_reason,break_amount,currency,break_status,created_ts,age_hours,material_break_flag,assigned_team,owner_id,policy_id,policy_version_expected,source_system
BRK-0000001,ACC-0000711,CUST-000363,SEC-000457,POSITION,TIMING_DIFFERENCE,327.56,EUR,INVESTIGATING,2026-07-08T14:11:17,305,Y,RECON_POSITION,REC-025,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000002,ACC-0000942,CUST-000298,SEC-000207,FX,FX_RATE_DIFFERENCE,-498.01,USD,RESOLVED,2026-06-24T02:36:50,653,Y,RECON_POSITION,REC-058,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000003,ACC-0000538,CUST-000019,SEC-000313,POSITION,TIMING_DIFFERENCE,154.63,USD,OPEN,2026-06-07T09:13:17,1054,Y,RECON_POSITION,REC-030,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000004,ACC-0000440,CUST-000105,,CASH,EXTERNAL_STATEMENT_MISMATCH,212.99,CAD,OPEN,2026-05-20T04:40:47,1491,Y,RECON_CASH,REC-026,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000005,ACC-0000617,CUST-000228,SEC-000465,FX,TIMING_DIFFERENCE,-416.09,USD,PENDING_EXTERNAL,2026-07-05T10:27:20,381,Y,RECON_POSITION,REC-047,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000006,ACC-0000373,CUST-000062,SEC-000046,FX,UNMATCHED_CORPORATE_ACTION,-575.96,GBP,INVESTIGATING,2026-05-14T17:03:33,1622,Y,RECON_POSITION,REC-035,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000007,ACC-0000442,CUST-000357,SEC-000385,FX,UNMATCHED_CORPORATE_ACTION,-77.95,USD,OPEN,2026-05-19T20:53:47,1499,Y,RECON_POSITION,REC-003,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000008,ACC-0000313,CUST-000224,,CASH,TIMING_DIFFERENCE,291.28,USD,OPEN,2026-05-18T04:53:45,1539,Y,RECON_CASH,REC-050,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000009,ACC-0000399,CUST-000006,,CASH,MISSING_BOOKING,314.35,SGD,INVESTIGATING,2026-07-15T01:27:16,150,Y,RECON_CASH,REC-014,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000010,ACC-0000836,CUST-000311,SEC-000001,POSITION,UNMATCHED_CORPORATE_ACTION,-150.45,USD,OPEN,2026-05-19T16:35:59,1503,Y,RECON_POSITION,REC-048,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000011,ACC-0000692,CUST-000268,SEC-000372,POSITION,TIMING_DIFFERENCE,649.70,USD,INVESTIGATING,2026-04-01T13:32:12,2658,Y,RECON_POSITION,REC-019,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000012,ACC-0000160,CUST-000316,SEC-000110,POSITION,EXTERNAL_STATEMENT_MISMATCH,-238.14,USD,OPEN,2026-05-30T22:54:15,1233,Y,RECON_POSITION,REC-037,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000013,ACC-0000023,CUST-000001,SEC-000432,FX,FX_RATE_DIFFERENCE,-379.87,AUD,INVESTIGATING,2026-05-15T21:48:54,1594,Y,RECON_POSITION,REC-011,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000014,ACC-0000928,CUST-000361,SEC-000301,FX,DUPLICATE_BOOKING,-113.25,USD,RESOLVED,2026-07-06T09:23:11,358,Y,RECON_POSITION,REC-006,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000015,ACC-0000145,CUST-000448,,CASH,EXTERNAL_STATEMENT_MISMATCH,83.41,CAD,INVESTIGATING,2026-07-07T14:21:10,329,Y,RECON_CASH,REC-009,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000016,ACC-0000329,CUST-000317,SEC-000387,CORPORATE_ACTION,MISSING_BOOKING,140.16,USD,OPEN,2026-06-09T05:19:10,1010,Y,RECON_POSITION,REC-031,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000017,ACC-0000348,CUST-000454,SEC-000346,FX,MISSING_BOOKING,-114.08,USD,OPEN,2026-06-19T03:26:28,772,Y,RECON_POSITION,REC-032,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000018,ACC-0000204,CUST-000317,,CASH,EXTERNAL_STATEMENT_MISMATCH,-269.15,USD,INVESTIGATING,2026-04-28T15:45:14,2008,Y,RECON_CASH,REC-002,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000019,ACC-0000367,CUST-000302,,CASH,PRICE_DIFFERENCE,-117.88,USD,INVESTIGATING,2026-06-05T19:23:03,1092,Y,RECON_CASH,REC-049,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000020,ACC-0000035,CUST-000302,SEC-000015,POSITION,PRICE_DIFFERENCE,79.81,USD,RESOLVED,2026-04-12T17:32:04,2390,Y,RECON_POSITION,REC-009,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000021,ACC-0000648,CUST-000398,SEC-000087,NAV,UNMATCHED_CORPORATE_ACTION,-515.34,USD,OPEN,2026-06-10T23:48:19,968,Y,RECON_POSITION,REC-020,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000022,ACC-0000446,CUST-000005,SEC-000116,CORPORATE_ACTION,MISSING_BOOKING,284.65,USD,ESCALATED,2026-05-01T05:52:16,1946,Y,RECON_POSITION,REC-014,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000023,ACC-0000858,CUST-000500,SEC-000085,POSITION,DUPLICATE_BOOKING,197.33,SGD,INVESTIGATING,2026-07-08T04:25:38,315,Y,RECON_POSITION,REC-009,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000024,ACC-0000829,CUST-000493,SEC-000343,POSITION,EXTERNAL_STATEMENT_MISMATCH,126.63,USD,ESCALATED,2026-05-26T03:44:51,1348,Y,RECON_POSITION,REC-020,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000025,ACC-0000768,CUST-000059,SEC-000053,NAV,DUPLICATE_BOOKING,-157.11,USD,OPEN,2026-04-01T07:46:28,2664,Y,RECON_POSITION,REC-053,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000026,ACC-0000344,CUST-000443,SEC-000243,POSITION,MISSING_BOOKING,-110.41,SGD,ESCALATED,2026-07-09T06:45:09,289,Y,RECON_POSITION,REC-053,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000027,ACC-0000041,CUST-000352,SEC-000088,POSITION,TIMING_DIFFERENCE,-473.15,GBP,RESOLVED,2026-04-26T20:04:57,2051,Y,RECON_POSITION,REC-003,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000028,ACC-0000378,CUST-000332,SEC-000408,POSITION,TIMING_DIFFERENCE,-157.68,EUR,PENDING_EXTERNAL,2026-06-18T19:41:05,780,Y,RECON_POSITION,REC-039,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000029,ACC-0000395,CUST-000490,SEC-000136,CORPORATE_ACTION,PRICE_DIFFERENCE,-395.02,USD,INVESTIGATING,2026-05-02T18:31:13,1909,Y,RECON_POSITION,REC-028,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000030,ACC-0000182,CUST-000280,SEC-000464,CORPORATE_ACTION,DUPLICATE_BOOKING,-1026.02,USD,RESOLVED,2026-06-25T09:20:49,622,Y,RECON_POSITION,REC-040,POL-REC-001,3.0,RECON_CONTROL_CENTER
BRK-0000031,ACC-0000379,CUST-000124,SEC-000416,CORPORATE_ACTION,FX_RATE_DIFFERENCE,-916.97,USD,OPEN,2026-07-17T12:00:56,91,Y,RECON_POSITION,REC-051,POL-REC-001,3.0,RECON_CONTROL_CENTER
